Scode,Coname,Anncdate,Num,Suplnm,Conumb,Lstrorn,LstScode,Ctlprtrlat,Suplpa,Suplpart
股票代码,公司简称,,,供应商名称,公司编号,,公司股票代码,参控关系,,
000001,平安银行,2014-08-19,3.0,深圳市银之杰科技股份有限公司,AZ0348079,,300085,,1701900.0,0.0366
000001,平安银行,2015-03-17,4.0,安徽淘礼网科技有限公司,AZ0203336,,,,10223400.0,0.13849999999999998
000001,平安银行,2015-08-17,5.0,深圳手付通科技有限公司,AZ0349098,,,,404000.0,0.04769999999999999
000001,平安银行,2015-09-14,6.0,上海翼码信息科技股份有限公司,AZ0073424,,,,1296300.0,0.0294
000001,平安银行,2015-12-03,7.0,上海雷珏信息科技股份有限公司,AZ0076029,,,,1367200.0,0.0621
000002,万科A,2014-08-22,2.0,北京东方雨虹防水技术股份有限公司,AZ0000820,,002271,,205750300.0,0.0872
000002,万科A,2014-08-28,3.0,佛山欧神诺陶瓷有限公司,AZ0114751,,,,48732000.0,0.0753
000002,万科A,2015-01-30,4.0,江苏捷阳科技集团股份有限公司,AZ0299566,,,,2395300.0,0.0141
000002,万科A,2015-12-04,5.0,江西奇信集团股份有限公司,AZ0304994,,002781,,67049700.0,0.026000000000000002
000002,万科A,2015-12-18,6.0,广州华苑园林股份有限公司,AZ0237764,,,,32021600.0,0.073
000002,万科A,2015-12-25,7.0,同策房产咨询集团股份有限公司,AZ0163517,,,,36314800.0,0.042
000002,万科A,2015-12-31,8.0,日立电梯(中国)有限公司,AZ0034721,,,联营公司,950000000.0,0.0105
000004,国华网安,2013-12-31,10.0,江苏通州二建建设工程公司,AZ0021278,,,,7209825.47,0.1368
000004,国华网安,2013-12-31,6.0,同济大学建筑设计研究院集团有限公司,AZ0016117,,,,2090654.27,0.0397
000004,国华网安,2013-12-31,7.0,河南天方药业股份有限公司,AZ0005916,,600253,子公司,2452500.0,0.04650000000000001
000004,国华网安,2013-12-31,8.0,广东电白建设集团有限公司,AZ0003744,,,,24936341.25,0.473
000004,国华网安,2013-12-31,9.0,上海汤始建华管桩有限公司,AZ0021279,,,,5269404.0,0.1
000004,国华网安,2014-12-31,11.0,上海安义生化实业有限公司,AZ0012087,,,,2273925.0,0.0174
000004,国华网安,2014-12-31,12.0,江苏通州二建建设工程公司,AZ0021278,,,,22933000.0,0.17559999999999998
000004,国华网安,2014-12-31,13.0,广东电白建设集团有限公司,AZ0003744,,,,24235006.82,0.1855
000004,国华网安,2014-12-31,14.0,浙江海翔药业股份有限公司,AZ0018847,,002099,,2717948.72,0.0208
000004,国华网安,2014-12-31,15.0,广东电白-安徽铜陵,AZ0021280,,,,31256501.69,0.23929999999999998
000004,国华网安,2015-12-31,16.0,广东电白建设集团有限公司,AZ0003744,,,,16000000.0,0.21170000000000003
000004,国华网安,2015-12-31,17.0,通力电梯有限公司,AZ0016094,,,,1641890.0,0.0217
000004,国华网安,2015-12-31,18.0,江苏通州二建建设工程有限公司,AZ0021278,,,,27035531.11,0.3577
000004,国华网安,2015-12-31,19.0,南通麒麟建筑安装工程有限公司,AZ0009707,,,,3607215.0,0.04769999999999999
000004,国华网安,2015-12-31,20.0,上海安义生化实业有限公司,AZ0012087,,,,6186624.01,0.0819
000005,ST星源(退市),2013-12-31,10.0,永欢海鲜,AZ0021284,,,,635783.05,0.046
000005,ST星源(退市),2013-12-31,6.0,深圳市罗湖区金前牛百叶档,AZ0021286,,,,267594.0,0.0194
000005,ST星源(退市),2013-12-31,7.0,深圳深岩燃气同乐储备站,AZ0021285,,,,277300.0,0.02
000005,ST星源(退市),2013-12-31,8.0,深圳市世纪春天农副产品发展有限公司,AZ0014175,,,,296794.66,0.0215
000005,ST星源(退市),2013-12-31,9.0,深圳市深辉宝进出口有限公司,AZ0014152,,,,425521.78,0.0308
000005,ST星源(退市),2014-12-31,11.0,深圳市商盈电器有限公司,AZ0014149,,,,132450.0,0.0095
000005,ST星源(退市),2014-12-31,12.0,深圳深岩燃气有限公司同乐储备站,AZ0021285,,,,322340.0,0.0232
000005,ST星源(退市),2014-12-31,13.0,深圳市罗湖区深明盛商行,AZ0021287,,,,352514.2,0.0254
000005,ST星源(退市),2014-12-31,14.0,深圳市世纪春天农副产品发展有限公司,AZ0014175,,,,793289.76,0.0571
000005,ST星源(退市),2014-12-31,15.0,深圳市鹏盛食品配送有限公司,AZ0014103,,,,829861.06,0.059800000000000006
000005,ST星源(退市),2015-12-31,16.0,宁波市鄞州一滴水环保科技有限公司,AZ0021288,,,,1519691.0,0.1065
000005,ST星源(退市),2015-12-31,17.0,宁波万利德企业管理服务有限公司,AZ0010114,,,,2000000.0,0.1401
000005,ST星源(退市),2015-12-31,18.0,宁波明臻建设工程有限公司,AZ0010018,,,,2100000.0,0.1471
000005,ST星源(退市),2015-12-31,19.0,广东民升建设工程有限公司,AZ0003842,,,,5330000.0,0.3734
000005,ST星源(退市),2015-12-31,20.0,玉环县三星环保设备有限公司,AZ0021289,,,,935200.0,0.0655
000006,深振业A,2013-12-31,1.0,南宁市国土资源局,AZ0009661,,,,182865128.0,0.06559999999999999
000006,深振业A,2013-12-31,2.0,东莞市国土资源局,AZ0021293,,,,285800000.0,0.1024
000006,深振业A,2013-12-31,3.0,深圳市建业建筑工程有限公司,AZ0021292,,,,309109282.34,0.1108
000006,深振业A,2013-12-31,4.0,深圳市第一建筑工程有限公司,AZ0013855,,,,345531743.33,0.12390000000000001
000006,深振业A,2013-12-31,5.0,天津市国土资源局,AZ0021291,,,,790000000.0,0.2832
000006,深振业A,2014-12-31,10.0,天津市国土资源及房屋管理局,AZ0021295,,,,555000000.0,0.1553
000006,深振业A,2014-12-31,6.0,广州市国土资源和房屋管理局,AZ0021294,,,,1015000000.0,0.2841
000006,深振业A,2014-12-31,7.0,西安市土地储备交易中心,AZ0016995,,,,306831700.0,0.0859
000006,深振业A,2014-12-31,8.0,深圳市第一建筑工程有限公司,AZ0013855,,,,308272311.11,0.0863
000006,深振业A,2014-12-31,9.0,深圳市建业建筑工程有限公司,AZ0021292,,,,392499281.56,0.1099
000006,深振业A,2015-12-31,11.0,广州市国土资源和房屋管理局,AZ0021294,,,,1038525444.0,0.3935
000006,深振业A,2015-12-31,12.0,中天建设集团有限公司,AZ0020548,,,,115541188.0,0.0438
000006,深振业A,2015-12-31,13.0,南宁市国土资源局,AZ0009661,,,,159083880.0,0.0603
000006,深振业A,2015-12-31,14.0,深圳建业工程集团股份有限公司,AZ0013735,,,,166334928.4,0.063
000006,深振业A,2015-12-31,15.0,深圳市第一建筑工程有限公司,AZ0013855,,,,191741188.56,0.0727
